Award ID,Recipient,Amount,Extent Competed,Offers Received,Set Aside Type
HSFE5014F0289,BOOZ ALLEN HAMILTON INC,6451858.92,A,1,
70FA5020P00000069,"GLOBAL CENTER FOR MEDICAL INNOVATION, INC",6350341.48,A,1,NONE
70FBR620F00000047,"COMPASS PTS JV, THE",6166517.49,A,1,
HSFE3017J0298,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,6056651.66,A,1,
HSFE3017J0479,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,6046858.87,A,1,
70FA3018F00000701,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5999348.43,D,1,
70FA3019F00000580,TRILLION TECHNOLOGY SOLUTIONS INC,5910846.68,D,1,
HSFEHQ09J0005,"URS GROUP, INC.",353921.49,A,3,NONE
HSFEHQ06J0004,"URS GROUP, INC.",787293.96,A,3,NONE
70FA5020P00000058,RED TAIL LOGISTICS LLC,5823241,F,1,NONE
70FBR218F00000131,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,5746993.81,A,1,
70FB7020F00000145,NEW LIGHT TECHNOLOGIES INC,5726250.85,D,1,8AN
HSFE5017F0039,"CACI NSS, LLC",5525311.03,A,1,
70FA3020F00000216,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5497557.33,D,1,8AN
HSFE9013F0065,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5473815.18,D,1,8AN
70FA3020F00000574,"BLUEPRINT CONSULTING SERVICES, LLC",5447203.11,A,1,
70FA3019F00000578,TRILLION TECHNOLOGY SOLUTIONS INC,5427373.39,D,1,
70FA3019F00000547,"GALVAN AND ASSOCIATES, LLC",5393155.14,D,1,
70FA3019F00000742,INTERNATIONAL BUSINESS MACHINES CORPORATION,5371307.46,A,1,
70FA3021F00000061,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,5314872.8,D,1,
HSFE2016F0223,"ACCLARO RESEARCH SOLUTIONS, INC.",5309243.68,A,1,HZC
HSFE7015J0169,GOVERNMENT ACQUISITIONS INC,4931828.83,D,1,
70FA2020P00000021,"RAVEN ENGINEERED FILMS, INC.",4800000,A,1,NONE
70FB8018P00000019,"BLUEPRINT CONSULTING SERVICES, LLC",4757408.05,F,1,NONE
HSFE7017F0087,"JTG, INC.",4701378.04,A,1,
70FA3020F00000021,"ESTARS ENTERPRISE, LLC",4675320.79,D,1,8AN
70FA3018F00000240,NEW LIGHT TECHNOLOGIES INC,4657385.69,D,1,
70FA3020F00000549,AKIRA TECHNOLOGIES INC.,4572245.56,D,1,
70FA3020F00000144,TRILLION TECHNOLOGY SOLUTIONS INC,4520659.66,D,1,8AN
70FA6018P00000002,"CORELOGIC SOLUTIONS, LLC",4417310.39,F,1,NONE
70FA3020F00000498,RIVERTECH LLC,4277169.13,D,1,
70FA3018F00000521,"BLUEPRINT CONSULTING SERVICES, LLC",4269992.23,D,1,8AN
HSFE1012J0120,STARR,4220716.84,A,1,
70FA3019F00000646,"APPLIED COMPUTING TECHNOLOGIES, INC.",4191803.26,A,1,
70FA3020F00000604,SERCO INC,4102411.69,A,1,
70FA3018F00000099,"BLUEPRINT CONSULTING SERVICES, LLC",4091104.06,D,1,
70FBR218F00000152,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,4080046.64,A,1,
70FA3021F00000072,ALPHA OMEGA INTEGRATION LLC,4027659.09,A,1,
70FA3020F00000338,"NIYAMIT, INC.",4013896.97,A,1,
70FA5020F00000091,CONCURRENT TECHNOLOGIES CORP,4011556.88,A,1,
70FA3019F00000723,"ESTARS ENTERPRISE, LLC",3995126.71,D,1,8AN
70FA5018F00000164,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,3972183.66,D,1,
70FA3018F00000355,TRILLION TECHNOLOGY SOLUTIONS INC,3959628.92,D,1,
70FA3020F00000640,"APPLICA SOLUTIONS, INC.",3926226.41,D,1,SDVOSBC
70FB7020C00000013,"OSIRIUS GROUP, LLC",3920000,A,1,NONE
70FB8019C00000011,"DIGITAL FORENSIC SERVICES, LLC",3879929.71,F,1,NONE
70FB7021F00000010,WELLNESS COACHES USA LLC,3845660,F,1,NONE
70FA6019F00000026,"COMPASS PTS JV, THE",3814406.47,A,1,
70FA3020F00000454,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,3799441.93,D,1,
HSFE3015F0312,"COSTAS GROUP, INC., THE",3739522.85,A,1,
70FA3020F00000371,TRILLION TECHNOLOGY SOLUTIONS INC,3678831.81,A,1,
70FB7020F00000100,GEMINI BIOPRODUCTS LLC,3659999.83,D,1,
HSFEHQ08J0039,"URS GROUP, INC.",3644927.83,A,1,NONE
70FA6018F00000005,"STARR II, A JOINT VENTURE",3628877.22,A,1,
HSFE3015F0398,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,3387819.78,D,1,8AN
70FA2020F00000015,"AMENTUM TECHNOLOGY, INC.",3312236.57,A,1,
70FBR819F00000016,"COMPASS PTS JV, THE",3292685.79,A,1,
70FA4020F00000170,"SAVAN NSG ALLIANCE, LLC",3288290.7,D,1,SBA
70FA3020F00000279,"INTELLECT SOLUTIONS, LLC",3276467.9,D,1,8AN
70FB8019F00000030,"CH2M FACILITY SUPPORT SERVICES, LLC",3256628.57,A,1,
70FA3019F00000443,SENSIS INC.,3248824.83,D,1,
70FB7020F00000102,"AJINOMOTO ALTHEA, INC.",3233895.55,D,1,
HSFE5016F0220,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,3161114,D,1,8AN
70FA3020F00000655,"FAVOR TECHCONSULTING, LLC",3137801.56,D,1,8AN
HSFE3015F0402,GLOBAL TECH INC.,3116430.8,D,1,8AN
70FA5020F00000142,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,3087092.03,D,1,
70FB8019C00000010,MPACT STRATEGIC CONSULTING LLC,3077282.65,D,1,8A
70FA3020F00000364,"INTELLECT SOLUTIONS, LLC",2999843.8,D,1,
70FA3019F00000709,"BLUEPRINT CONSULTING SERVICES, LLC",2993433.32,D,1,
HSFE0816J0216,"COMPASS PTS JV, THE",2969590.8,A,1,
70FA3020F00000628,APPEREON BUSINESS SOLUTIONS INC,2955614.81,A,1,HZC
HSFEHQ12J0001,EMERGENCY RESPONSE PROGRAM MANAGEMENT CONSULTANTS,2936283.15,A,1,
70FB7019F00000183,"DUN & BRADSTREET, INC",2912058.24,A,1,
70FB7020F00000184,"COMPOSITE ANALYSIS GROUP, INC.",2905560,A,1,
HSFE5017J0069,HII MISSION DRIVEN INNOVATIVE GOVERNMENT SOLUTIONS INC.,2815150.55,A,1,
70FB7020P00000045,SECURE OUR SCHOOLS LLC,2790000,A,1,NONE
HSFE0617P1017,"ATLANTIC BEVERAGE COMPANY, LLC",2759982.5,F,1,NONE
70FA3019F00000706,TRILLION TECHNOLOGY SOLUTIONS INC,2759106.94,D,1,8AN
70FA4018F00000130,"BLUEPRINT CONSULTING SERVICES, LLC",2715390.08,D,1,8AN
70FA3021F00000017,TRILLION TECHNOLOGY SOLUTIONS INC,2698800.66,D,1,
70FA3020F00000372,"INTELLECT SOLUTIONS, LLC",2592927.05,A,1,HZS
70FA3019F00000125,BLUE TECH INC.,2559996,D,1,
70FA3020F00000654,"CHAKRABARTI MANAGEMENT CONSULTANCY, INC.",2548938.84,D,1,
HSFE6015F0058,MONITOR ASSOCIATES INC,2476101.05,A,1,8AN
70FA3019F00000329,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,2468631.33,D,1,
HSFE3017F0237,CARAHSOFT TECHNOLOGY CORP,2415498.12,A,1,
70FA3020F00000206,TRILLION TECHNOLOGY SOLUTIONS INC,2414896.79,D,1,
70FA3021F00000037,CELLCO PARTNERSHIP,2407861.41,A,1,
HSFE3017C0002,NI GOVERNMENT SERVICES INC,2299900.75,A,1,NONE
HSFEHQ08J0050,"URS GROUP, INC.",2287116.63,A,1,NONE
70FA3019F00000095,ATT MOBILITY LLC,2254062.06,A,1,
HSFE4017F0052,"NCC PS ENTERPRISES, LLC",2203032.74,A,1,
70FA3019F00000721,"BLUEPRINT CONSULTING SERVICES, LLC",2198250.09,D,1,8AN
70FBR218F00000077,COCONUT PROPERTIES LLC,2191458.35,F,1,NONE
70FA5020F00000139,KNIGHT SKY LLC,2170257,A,1,
70FA3019F00000710,"L3 TECHNOLOGIES, INC.",2144901,A,1,
70FA3020F00000198,CELLCO PARTNERSHIP,2126609.46,A,1,
70FA5019F00000094,"L3 TECHNOLOGIES, INC.",2104020,A,1,
70FA5020P00000062,OCTAGON INDUSTRIES INC,2102150,F,1,NONE
70FA5020F00000147,"MOTOROLA SOLUTIONS, INC.",2071934.84,A,1,
70FA5018F00000023,CONCURRENT TECHNOLOGIES CORP,2071934.66,A,1,
70FA3020F00000645,"HALFAKER AND ASSOCIATES, LLC",2053366.97,D,1,
HSFE8016C0204,"U.S. FEDERAL SOLUTIONS, INC.",1989923.4,A,1,NONE
70FB7020F00000094,CHARM SCIENCES INC,1946400,D,1,
70FA3020F00000094,USMAX CORPORATION,1923633.89,D,1,8AN
70FA3018F00000585,"EMERGENT, LLC",1914293.73,A,1,
70FA3018F00000739,"ESTARS ENTERPRISE, LLC",1897830.32,D,1,8AN
70FA5019F00000110,"CORESPHERE, LLC",1895287.48,D,1,
70FA3018F00000306,USMAX CORPORATION,1884955.37,D,1,8AN
HSFE8017P0031,INSTITUTE FOR BUILDING TECHNOLOGY AND SAFETY,1813305.55,A,1,NONE
70FA3020F00000571,AXXUM TECHNOLOGIES LLC,1758339.68,D,1,
70FA3018F00000416,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,1712905.27,A,1,
70FA3019F00000733,"BLUEPRINT CONSULTING SERVICES, LLC",1709085.71,D,1,
HSFE3017J0432,"ARDENT MANAGEMENT CONSULTING, LLC",1706806.27,A,1,SBA
70FA3020F00000129,"METROSTAR SYSTEMS, LLC",1700937.66,D,1,
70FA3019F00000227,"GARUD TECHNOLOGY SERVICES, INC.",1677093.18,D,1,8AN
HSFE8017J0353,ARC ASPICIO LLC,1643286.58,A,1,SBA
70FBR621F00000006,AMERICAN EAGLE PROTECTIVE SERVICES CORP,1632161.77,A,1,
70FA6019C00000001,"CARLTON FIELDS, P.A.",1597890,A,1,NONE
70FA3020F00000115,"DIGITAL FORENSIC SERVICES, LLC",1581686.4,A,1,HZS
70FB8020C00000007,"INTERNATIONAL RESPONDER SYSTEMS, LLC",1512766.46,F,1,HZC
70FB7021F00000025,WELLNESS COACHES USA LLC,1503440,F,1,NONE
70FB8018F00000099,W S DARLEY & CO,1408250,A,1,
70FBTX19F00000007,NATIONAL ACADEMY OF SCIENCES,1395168.54,D,1,NONE
70FBR920F00000046,"AMENTUM SERVICES, INC.",1280685.91,A,1,
70FA3018F00000624,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,1274666.34,A,1,
70FB7020F00000109,STERIPACK USA LIMITED LLC,1239000,D,1,
HSFE0317J0010,"STARR II, A JOINT VENTURE",1235806.65,A,1,
HSFE6016J1966,CDM FEDERAL PROGRAMS CORPORATION,1219589.72,A,1,
HSFE3017J0093,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,1129824.37,A,1,
HSFE3013F0097,"DIGITAL SYSTEMS GROUP, INC",1127518.67,A,1,
HSFE3016F0250,CGI FEDERAL INC.,1124505.44,A,1,
70FA3020F00000391,NEW LIGHT TECHNOLOGIES INC,1119414.3,D,1,8AN
70FBR418F00000009,EMPIRE HOSPITALITY LLC,1074410.33,F,1,NONE
HSFE8017J0313,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,1041155.16,A,1,
70FBR218F00000011,"STARR II, A JOINT VENTURE",997496.31,A,1,
HSFE3017J0555,BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.,968221.11,A,1,
70FBR718F00000010,"STARR II, A JOINT VENTURE",968190.23,A,1,
70FB8020F00000066,WS ACQUISITION LLC,967620,A,1,
70FB7019F00000177,FEDERAL CONTRACTS LLC,964079.72,A,1,
70FBR218F00000019,"STARR II, A JOINT VENTURE",958766.54,A,1,
HSFE0717J0009,"STARR II, A JOINT VENTURE",956868.91,A,1,
70FBR618F00000011,"COMPASS PTS JV, THE",942933.78,A,1,
HSFE8013J0020,AECOM RECOVERY,932946,A,1,
70FBR219F00000004,"STARR II, A JOINT VENTURE",918389.13,A,1,
70FBR218F00000036,"STARR II, A JOINT VENTURE",916777.02,A,1,
70FA3020F00000649,VETERAN TECHNOLOGY PARTNERS II LLC,901725.56,D,1,
70FBR219F00000077,"DUN & BRADSTREET, INC",899960.24,A,1,
70FBR320F00000047,"COMPASS PTS JV, THE",895548.14,A,1,
HSFE1017J0005,"STARR II, A JOINT VENTURE",883442.22,A,1,
HSFE0417J0028,"LAWRENCE MOBILE HOME SERVICE, INC.",880652.25,F,1,NONE
70FB8019P00000022,"TRAVELCAMP, LLC",878160,F,1,NONE
70FA5020F00000032,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,869383.6,D,1,
70FBR920F00000012,"STARR II, A JOINT VENTURE",867225.96,A,1,
HSFE4016F0224,"NCC PS ENTERPRISES, LLC",854794,A,1,
HSFE0217J0017,"STARR II, A JOINT VENTURE",854321.84,A,1,
HSFE0417J0094,"COMPASS PTS JV, THE",848390.43,A,1,
HSFEHQ07J0011,NATIONWIDE INFRASTRUCTURE SUPPORT TECHNICAL ASSISTANCE CONSULTANTS D,846503.32,CDO,1,NONE
70FBR520F00000015,"STARR II, A JOINT VENTURE",843520.51,A,1,
70FA3020F00000318,AXXUM TECHNOLOGIES LLC,823255.12,D,1,
HSFE4017F0043,FALON SOURCING SOLUTIONS LLC,821799.88,A,1,
70FA3020F00000251,"INTELLECT SOLUTIONS, LLC",818226.08,A,1,HZS
70FA3020F00000171,"KCI-ACUITY, LLC",809675.6,D,1,8AN
70FA3019F00000571,"ARDENT MANAGEMENT CONSULTING, LLC",802774.77,A,1,
70FA3019F00000661,ATT MOBILITY LLC,792257.96,A,1,
70FBR219F00000073,HUGHES NETWORK SYSTEMS LLC,782875.6,A,1,
HSFE8014J0007,AECOM RECOVERY,27340,A,1,
70FB7018F00000091,MAG DS CORP,778574.38,A,1,
HSFE8014J0001,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,776728.65,A,1,
70FBR919P00000067,"SHERMAN CONSULTING, LLC",753792.62,F,1,SBA
70FBR419F00000197,"COMPASS PTS JV, THE",748759,A,1,
70FBR418F00000011,"COMPASS PTS JV, THE",748500.14,A,1,
70FA3020F00000063,CELLCO PARTNERSHIP,729895.05,A,1,
HSFETX13F0022,SWN COMMUNICATIONS INC.,729699.37,A,1,
70FBR620F00000052,NATIVE ENERGY & TECHNOLOGY INC,729511.74,A,1,
70FA3019F00000651,INTERNATIONAL BUSINESS MACHINES CORPORATION,727673.03,A,1,
70FA5020F00000017,LOGISTICS MANAGEMENT INSTITUTE,724966.8,A,1,
70FA3019F00000282,IMMIXTECHNOLOGY INC,708674.34,A,1,
70FA3018F00000719,HEWLETT PACKARD ENTERPRISE COMPANY,705562.95,A,1,
70FB7019F00000170,FEDERAL CONTRACTS LLC,700176,A,1,SBA
70FBR318F00000012,"STARR II, A JOINT VENTURE",698457.32,A,1,
70FBR621P00000077,"SILVERTON ENTERPRISES, L.L.C",698141,D,1,NONE
70FA3019F00000624,ATT MOBILITY LLC,697337.82,A,1,
HSFE2017J0014,PERATON INC.,690137.17,A,1,
70FA6019F00000052,METCOR LTD,686995.89,D,1,
70FA3019F00000621,ATT MOBILITY LLC,680719.58,A,1,
70FBR621P00000042,"LNG PROPERTIES, L.L.C.",672933.85,D,1,NONE
70FBR419F00000114,"COMPASS PTS JV, THE",661246.56,A,1,
70FA3020F00000476,ECONOMIC SYSTEMS INC,650044.49,A,1,
70FA6018P00000006,AIR WORLDWIDE CORPORATION,650000,A,1,NONE
70FA3020F00000264,"BLUEWATER FEDERAL SOLUTIONS, INC.",644956.42,A,1,
HSFE4016F0265,"NCC PS ENTERPRISES, LLC",643851,A,1,
70FBR719F00000062,"STARR II, A JOINT VENTURE",633231.96,A,1,
HSFE7017F0076,TRANSPERFECT TRANSLATIONS INTERNATIONAL INC,633030.69,A,1,
70FA3019F00000400,CELLCO PARTNERSHIP,628811.17,A,1,
70FA3019F00000428,KONIAG INFORMATION SECURITY SERVICES LLC,628361.02,D,1,
HSFE7016J0236,PARTNERSHIP FOR TEMPORARY HOUSING LLC,625872,A,1,
HSFE8013J0005,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,625325,A,1,
HSFEHQ08J0047,"URS GROUP, INC.",605259.24,A,1,NONE
HSFE3014P0321,"C2 TECHNOLOGIES, INC.",604336,A,1,NONE
HSFE8015C0105,THE LEVY PARTNERSHIP INC,599829.88,A,1,NONE
HSFE8017J0222,"NISTAC E, LLC",584503.28,A,1,
HSFE3016F0239,HEWLETT PACKARD ENTERPRISE COMPANY,578831.91,A,1,
70FA3019F00000735,DSG-INSERSO INC.,569536.08,D,1,
70FBR218F00000149,"STARR II, A JOINT VENTURE",567454.48,A,1,
70FA3019F00000427,AXXUM TECHNOLOGIES LLC,550614.49,D,1,
70FA4020C00000015,"WELLO, INC",549938.67,F,1,SBA
70FBR618F00000007,"COMPASS PTS JV, THE",544112.08,A,1,
HSFEHQ08J0034,"URS GROUP, INC.",541012.21,A,1,NONE
HSFE0917P0062,"ODP BUSINESS SOLUTIONS, LLC",535582.7,F,1,NONE
70FA3019F00000626,ATT MOBILITY LLC,532209.72,A,1,
70FA4019F00000173,EMPLOYMENT LEARNING INNOVATIONS INC,530486.93,A,1,SBP
70FBR621P00000087,CIVEO USA LLC,527821.87,D,1,NONE
70FBR218F00000020,"STARR II, A JOINT VENTURE",526928.08,A,1,
HSFE9014J0004,"SKYLINK AIR AND LOGISTIC SUPPORT (USA), INC.",525629,A,1,
70FA5018F00000165,KNIGHT SKY LLC,520821,A,1,
70FA3019F00000633,CELLCO PARTNERSHIP,518202.15,A,1,
70FB7020F00000099,"U.S. COTTON, LLC",518000,D,1,
70FB8021F00000013,"BUILDING INSPECTION SERVICE, INC",517577.88,F,1,
70FBR219F00000032,"STARR II, A JOINT VENTURE",517095.6,A,1,
HSFE2013J0182,PERATON INC.,515894.9,A,1,
70FBR621P00000045,"HEBERT ESTATES MOBILE HOME & RV PARK, LLC",505860,D,1,NONE
70FA3019F00000631,"CKA, LLC",504119.71,D,1,
70FBR919F00000194,"AMENTUM SERVICES, INC.",500187.57,A,1,
70FB8019P00000021,"RAPE, ABUSE AND INCEST NATIONAL NETWORK RAINN",500000,A,1,NONE
HSFE3015F0322,TURNING POINT GLOBAL SOLUTIONS LLC,498575.6,D,1,
70FA5020F00000136,VETERAN TECHNOLOGY PARTNERS II LLC,491730.32,D,1,
70FBR621P00000030,RONNIE P LAROCCA,478800,D,1,NONE
HSFE4016F0237,SAVVEE INC.,477402.78,A,1,SDVOSBS
HSFE0713F0071,"CARTRIDGE TECHNOLOGIES, LLC",474497.5,A,1,
HSFE0616J0232,"COMPASS PTS JV, THE",465799.38,A,1,
70FBR621P00000019,CROSS RIVERS LLC,456120,D,1,NONE
70FBR720F00000012,"STARR II, A JOINT VENTURE",454151.76,A,1,
HSFE6016J0211,BOOZ ALLEN HAMILTON INC,450380.42,A,1,
HSFE7015F0090,CORNER ALLIANCE INCORPORATED,444775.28,A,1,SBA
70FBR419F00000282,BLUE TECH INC.,440745.18,D,1,
70FB7020F00000096,"COPAN DIAGNOSTICS, INC.",432897.29,D,1,
70FA3019F00000546,ATT MOBILITY LLC,428896.42,A,1,
70FA3018F00000090,AXXUM TECHNOLOGIES LLC,425922.44,A,1,
70FBR621P00000001,"BRADEN PROPERTIES, L.L.C.",422000,D,1,NONE
70FBR621P00000063,CIVEO USA LLC,413100,D,1,NONE
70FA2018F00000087,XEROX CORPORATION,410673.76,A,1,
HSFE7017P0087,OSC SOLUTIONS INC,400000,A,1,NONE
70FA3019F00000649,AITHERAS LLC,399739.67,D,1,
HSFE3017J0510,"ESCGOV, INC.",398980.8,A,1,
70FA3021F00000042,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",397346.93,A,1,
70FB8020P00000011,"MUTUALINK, INC.",395959.9,D,1,SBA
70FA6019F00000055,CDM FEDERAL PROGRAMS CORPORATION,392682,A,1,
70FBR621P00000080,CROSS RIVERS LLC,388500,D,1,NONE
70FA3020F00000381,SECURE SHIVA SOLUTIONS LLC,387888,D,1,
HSFEHQ07J0026,"FLUOR ENTERPRISES, INC.",386019,CDO,1,NONE
70FA3020F00000526,AKIRA TECHNOLOGIES INC.,383854.73,D,1,
70FA2019F00000019,"NEW TECH SOLUTIONS, INC.",380425,D,1,
70FA4020C00000016,"SAVAN GROUP, LLC",373570.2,A,1,NONE
HSFE6016J0206,DEWBERRY ENGINEERS INC.,372048.63,A,1,
HSFE0417J0015,"COMPASS PTS JV, THE",371640.99,A,1,
70FA6020F00000035,THE TRAINING CONNECTION INC,370383.6,A,1,
70FB7020P00000011,MCKESSON MEDICAL-SURGICAL INC.,370381.45,F,1,NONE
HSFE7017F0063,TRANSPERFECT TRANSLATIONS INTERNATIONAL INC,367770.42,A,1,
70FA3019F00000521,CELLCO PARTNERSHIP,366503.88,A,1,
70FA3020F00000660,OCT CONSULTING LLC,366356.82,D,1,
70FBR621P00000091,PARADISE 55 LLC,363600,D,1,NONE
HSFE6017J0001,"COMPASS PTS JV, THE",358169.58,A,1,
70FA3018F00000026,VETERAN TECHNOLOGY PARTNERS II LLC,355250,D,1,SBA
70FA3020F00000290,WESTWIND TEAM LLP,351381.26,D,1,
70FA3019F00000246,CELLCO PARTNERSHIP,345712.35,A,1,
70FBR918F00000051,"STARR II, A JOINT VENTURE",344620.56,A,1,
HSFE2013P0140,"INTERNATIONAL ASSOCIATION OF FIRE CHIEFS, INC.",342944,F,1,NONE
70FBR620F00000020,"COMPASS PTS JV, THE",340368.2,A,1,
70FBR219F00000054,HUGHES NETWORK SYSTEMS LLC,339393.04,A,1,
70FA3020P00000037,CARAHSOFT TECHNOLOGY CORP,334847.5,F,1,SBA
HSFE4016F0228,RICOH USA INC,330039.2,A,1,
70FA3020F00000241,CARAHSOFT TECHNOLOGY CORP,322426.4,A,1,
70FA3020F00000656,GOVERNMENT ACQUISITIONS INC,319725,D,1,
70FBR720P00000008,"SUPPLY KING USA, LLC",319600,F,1,NONE
70FA3020F00000577,MERIDIAN KNOWLEDGE SOLUTIONS LLC,314600.92,A,1,
HSFE7016P0207,"ARROWHEAD REALTY, LLC",314414.4,A,1,NONE
70FA5019F00000177,DEWBERRY CONSULTANTS LLC,314200,A,1,
70FA4019F00000010,RICOH USA INC,313463.28,A,1,
70FA5019F00000003,"THE TAURI GROUP, INC.",311369.33,A,1,
70FA2019F00000071,"FCN, INC.",310972.95,D,1,SBA
70FA3019F00000288,"ESCGOV, INC.",310755.82,A,1,
70FB7020P00000023,"ARROWHEAD REALTY, LLC",308695.08,A,1,NONE
70FA3020P00000022,SECURE OPERATING SOLUTIONS LLC,299978.75,A,1,NONE
HSFE0417J0037,"STONE, CHARLES S",299770,F,1,NONE
70FA3020P00000030,"MYTHICS, LLC",297946.5,A,1,NONE
70FA3018F00000270,IMMIXTECHNOLOGY INC,297081.66,A,1,
HSFE8013J0004,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,291874.16,A,1,
70FBR621P00000039,"KERSHAW'S CAJUN VILLAGE, L.L.C.",290176.35,D,1,NONE
70FBR620F00000081,"BROWN POINT FACILITY MANAGEMENT SOLUTIONS, LLC",286676.51,D,1,
70FA6019F00000046,BOOZ ALLEN HAMILTON INC,284461.15,A,1,
